MaMDID,ThreeGroup,FourGroup,Ancestry,GeoOrigin,RegNation,Fregion,Population,ANS,INA,IOB,MT,NAS,NAW,NBC,NBS,NFS,NO,OBS,PBD,PS,PZT,SPS,TPS,ZS
293,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,1,1,1,2,0,2,4,1,1,0,,0,0,,0
294,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,3,2,2,1,2,0,2,2,1,2,0,,1,1,2,0
295,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,3,1,1,1,2,1,2,2,1,1,0,,1,0,2,0
296,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,4,2,1,3,2,1,2,1,0,2,0,,1,0,2,0
297,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,4,3,2,1,2,0,2,1,1,3,0,,1,2,1,0
298,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,1,2,0,1,4,1,1,1,,2,0,1,0
299,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,1,2,3,1,1,0,,1,2,1,1
300,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,4,1,1,0,,2,2,2,0
301,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,,2,1,2,0,2,1,0,2,0,,1,,,0
302,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,1,1,2,0,,1,0,4,0
303,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,4,2,2,1,2,1,2,2,1,1,0,,2,2,1,0
304,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,,,,,,,,,,0,,,,,
305,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,1,1,3,0,2,2,1,1,0,,1,0,1,0
306,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,1,2,1,,,,,,,3,0,,0,1,1,0
307,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,4,3,1,3,2,1,2,2,1,2,0,,2,2,2,0
619,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,2,3,0,2,1,,1,0,,2,2,2,1
620,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,2,1,2,2,,,,,2,,,2,0,1,0
634,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,2,2,2,1,3,1,0,1,1,,1,1,2,0
1560,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,2,1,2,1,1,1,3,1,,2,0,,1,2,,1
1601,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,1,1,2,0,2,1,0,1,,,1,0,,0
1602,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,2,1,3,2,0,2,1,,2,0,,1,1,,0
1617,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,4,1,2,1,1,4,2,4,,2,0,,,0,,1
1618,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,2,1,,,4,,1,,1,0,,1,1,,0
1749,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,2,1,,,0,,2,,2,0,,1,0,2,0
1750,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,4,2,0,1,2,0,3,4,,1,0,,1,0,1,0
1751,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,,2,1,2,1,2,2,,1,0,,1,2,2,
1752,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,,,,,,,,,,0,,1,,,
1753,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,4,2,1,2,3,0,2,1,0,1,0,,1,0,1,0
1756,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,3,,,2,,,,,,,,,,1,1,
1757,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,4,1,2,1,1,1,2,1,1,1,0,,1,1,2,0
1760,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,1,3,3,2,2,3,0,3,1,1,3,0,,1,2,1,0
1761,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,,1,1,1,1,2,,1,,0,,2,,2,0
1762,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,3,4,2,1,2,2,0,2,1,1,1,0,,2,2,1,0
1763,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,4,1,2,,,1,2,1,,1,0,,1,0,1,0
1764,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,3,2,2,2,2,1,2,1,,2,0,,1,0,,0
1765,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,4,2,1,,2,0,2,2,,1,1,,1,0,2,1
1766,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,5,1,3,3,2,4,3,1,0,2,0,,2,0,1,0
1767,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,,,,,,,2,,,,,1,1,,
1768,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,,,,,,,,,,1,,,,,
1769,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,2,2,2,2,2,2,1,2,1,1,3,0,,1,2,1,0
1770,Asian,Asian,Amerindian,SWAmerindian,AncientPueblo,,,,,,0,,,0,3,2,,2,0,,3,2,,2
